Año,Trimestre,Ingresos (miles de pesos),Periodo,fecha
2022,1,51432896.0,Ene-Mar 2022,2022-03-31
2021,4,45467887.0,Oct-Dic 2021,2021-12-31
2021,3,42999944.0,Jul-Sept 2021,2021-09-30
2021,2,38239667.0,Abr-Jun 2021,2021-06-30
2021,1,36676371.0,Ene-Mar 2021,2021-03-31
2020,4,33539703.0,Oct-Dic 2020,2020-12-31
2020,3,31997445.0,Jul-Sept 2020,2020-09-30
2020,2,32102476.0,Abr-Jun 2020,2020-06-30
2020,1,29946216.0,Ene-Mar 2020,2020-03-31
2019,4,24169251.0,Oct-Dic 2019,2019-12-31
2019,3,21652748.0,Jul-Sept 2019,2019-09-30
2019,2,20743118.0,Abr-Jun 2019,2019-06-30
2019,1,20207414.0,Ene-Mar 2019,2019-03-31
2018,4,16637687.0,Oct-Dic 2018,2018-12-31
2018,3,15410981.0,Jul-Sept 2018,2018-09-30
2018,2,14319467.0,Abr-Jun 2018,2018-06-30
2018,1,13171459.0,Ene-Mar 2018,2018-03-31
2017,4,11226127.0,Oct-Dic 2017,2017-12-31
2017,3,10065998.0,Jul-Sept 2017,2017-09-30
2017,2,9678647.0,Abr-Jun 2017,2017-06-30
2017,1,8701201.0,Ene-Mar 2017,2017-03-31
2016,4,7483980.0,Oct-Dic 2016,2016-12-31
2016,3,6912442.0,Jul-Sept 2016,2016-09-30
2016,2,6534241.0,Abr-Jun 2016,2016-06-30
2016,1,5936845.0,Ene-Mar 2016,2016-03-31
2015,4,5376899.0,Oct-Dic 2015,2015-12-31
2015,3,5153739.0,Jul-Sept 2015,2015-09-30
2015,2,4701791.0,Abr-Jun 2015,2015-06-30
2015,1,4876385.0,Ene-Mar 2015,2015-03-31
2014,4,3950441.0,Oct-Dic 2014,2014-12-31
2014,3,3478638.0,Jul-Sept 2014,2014-09-30
2014,2,3270816.0,Abr-Jun 2014,2014-06-30
2014,1,2984054.0,Ene-Mar 2014,2014-03-31
